id	country	rule	tail	manufacturer	designation	site_country
6412	US	N-number	N25605	Bowlus	BA-100	United States
10507	US	N-number	N68724	Bowlus	BA-100	United States
24487	US	N-number	N33630	Bowlus	BA-102	United States
14858	GB	British serial (maker is a UK airframe builder)	N2078	Sopwith	Baby	United Kingdom
22172	GB	G- registration	G-EACQ	Avro	Baby	Australia
23161	NO	LN- registration	LN-GBI	Elliotts of Newbury	Baby	Norway
21242	CA	CF- registration	CF-RAY	Corben	Baby Ace	Canada
5882	US	N-number	N9050C	Corben	Baby Ace C	United States
24125	US	N-number	N4259T	Corbin	Baby Ace D	United States
6313	US	N-number	N44ET	Great Lakes	Baby Great Lakes	United States
19280	GB	G- registration	G-BGEI	Oldfield	Baby Lakes	Cyprus
14897	GB	RAF two-letter serial	WG774	British Aircraft Corporation	BAC 221	United Kingdom
15701	GB	RAF two-letter serial	ZD621	British Aerospace	BAe 125CC.3	United Kingdom
22301	AU	VH- registration	VH-NJL	British Aerospace	BAe 146-300	Australia
19821	TR	TC- registration	TC-THL	British Aerospace	BAe 146RJ70	Turkey
16062	GB	RAF two-letter serial	WN534	Boulton Paul	Balliol T.2	United Kingdom
16321	GB	RAF two-letter serial	WN516	Boulton Paul	Balliol T.2	United Kingdom
23610	FI	OH- registration	OH-BBA	Beechcraft	Baron A55	Finland
14881	GB	RAF two-letter serial	DP872	Fairey	Barracuda Mk II	United Kingdom
14906	GB	RAF two-letter serial	LS931	Fairey	Barracuda Mk II	United Kingdom
7180	US	N-number	N14HD	Dormoy	Bathtub	United States
15785	GB	RAF pre-war single-letter serial	L5343	Fairey	Battle I	United Kingdom
22324	GB	British serial (maker is a UK airframe builder)	N2188	Fairey	Battle I	Australia
21092	GB	RAF pre-war single-letter serial	R7384	Fairey	Battle Mk I	Canada
24511	US	N-number	N4ND	Nelson	BB-1	United States
21252	CA	CF- registration	CF-GUJ	Taylorcraft	BC-12	Canada
10624	US	N-number	N29840	Taylorcraft	BC-12-65	United States
22564	NZ	ZK- registration	ZK-BSW	Taylorcraft	BC-12D	New Zealand
10623	US	N-number	N21239	Taylorcraft	BC-65	United States
21068	CA	CF- registration	CF-BPR	Taylorcraft	BC-65	Canada
26955	US	N-number	N95734	Taylorcraft	BC12D	United States
3887	US	N-number	N42EE	Bede	BD-4	United States
9695	US	N-number	N56BT	Bede	BD-4	United States
26902	US	N-number	N524GR	Bede	BD-4	United States
5923	US	N-number	N500BD	Bede	BD-5	United States
6279	US	N-number	N110CJ	Bede	BD-5B	United States
7524	US	N-number	N8065V	Bede	BD-5B	United States
7783	US	N-number	N26019	Bede	BD-5B	United States
9696	US	N-number	N51CJ	Bede	BD-5B	United States
24109	US	N-number	N472MA	Bede	BD-5B	United States
24110	US	N-number	N5BE	Bede	BD-5B	United States
3888	US	N-number	N505MR	Bede	BD-5J	United States
12431	RU	RA- registration	RA-00041	Beriev	Be-12P	Russia
5517	RU	CCCP- registration	CCCP-67209	Beriev	Be-32	Russia
21780	AU	RAAF A-series serial	A8-186	Department of Aircraft Production	Beaufighter Mk 21	Australia
21781	AU	RAAF A-series serial	A8-386	Department of Aircraft Production	Beaufighter Mk 21	Australia
21939	AU	RAAF A-series serial	A19-144	Department of Aircraft Production	Beaufighter Mk 21	Australia
15310	GB	RAF pre-war single-letter serial	T5298	Bristol	Beaufighter Mk I	United Kingdom
15568	GB	RAF two-letter serial	RD220	Bristol	Beaufighter TF.X	United Kingdom
15743	GB	RAF two-letter serial	RD253	Bristol	Beaufighter TF.X	United Kingdom
21095	GB	RAF two-letter serial	RD867	Bristol	Beaufighter TF.X	Canada
6189	GB	RAF two-letter serial	JM135	Bristol	Beaufighter XIc	United Kingdom
21625	AU	RAAF A-series serial	A9-141	Department of Aircraft Production	Beaufort	Australia
21782	AU	RAAF A-series serial	A9-703	Department of Aircraft Production	Beaufort Mk IX	Australia
16459	AU	RAAF A-series serial	A9-555	Bristol	Beaufort Mk VIII	United Kingdom
22406	AU	RAAF A-series serial	A9-557	Department of Aircraft Production	Beaufort Mk VIII	Australia
15744	GB	RAF two-letter serial	DD931	Bristol	Beaufort VIII	United Kingdom
14248	GB	RAF two-letter serial	XP821	de Havilland Canada	Beaver AL.1	United Kingdom
14249	GB	RAF two-letter serial	XP822	de Havilland Canada	Beaver AL.1	United Kingdom
15861	GB	RAF two-letter serial	XR371	Short Brothers	Belfast C.1	United Kingdom
23602	FI	OH- registration	OH-HIA	Bell	Bell 47D-1	Finland
15773	GB	RAF two-letter serial	XG474	Westland	Belvedere HC.1	United Kingdom
15032	GB	RAF two-letter serial	XG452	Bristol	Belvedere HC.1	United Kingdom
15033	GB	RAF two-letter serial	XG454	Bristol	Belvedere HC.1	United Kingdom
15034	GB	RAF two-letter serial	XG462	Bristol	Belvedere HC.1	United Kingdom
19651	TR	TC- registration	TC-PDJ	Scheibe	Bergfalke II/55	Turkey
21656	AU	VH- registration	VH-GKZ	Scheibe	Bergfalke II/55	Australia
23148	NO	LN- registration	LN-GBH	Scheibe	Bergfalke II/55	Norway
5253	US	N-number	N111MG	Scheibe	Bergfalke IIIB	United States
22489	NZ	ZK- registration	ZK-GAZ	Scheibe	Bergfalke Mk.3	New Zealand
6597	US	N-number	N268DK	Experimental Aviation	Berkut	United States
15452	GB	RAF two-letter serial	XB261	Blackburn	Beverley C.1	United Kingdom
16087	GB	RAF two-letter serial	XB259	Blackburn	Beverley C.1	United Kingdom
16221	GB	RAF two-letter serial	XL149	Blackburn	Beverley C.1	United Kingdom
17244	DE	D- registration	D-ERTT	Messerschmitt	Bf 108B	Germany
17737	DE	D- registration	D-EBEI	Messerschmitt	Bf 108B	Germany
16980	DE	D- registration	D-ESBH	Messerschmitt	Bf 108B Taifun	Germany
16981	DE	D- registration	D-EBFW	Messerschmitt	Bf 108B Taifun	Germany
15761	GB	RAF two-letter serial	DG200	Messerschmitt	Bf 109E-3	United Kingdom
16984	DE	D- registration	D-FDME	Messerschmitt	Bf 109G-10	Germany
17246	DE	D- registration	D-FMGZ	Messerschmitt	Bf 109G-12	Germany
17247	DE	D- registration	D-FMGV	Messerschmitt	Bf 109G-14	Germany
15834	GB	RAF two-letter serial	RN228	Messerschmitt	Bf 109G-2/Trop	United Kingdom
16983	DE	D- registration	D-FWME	Messerschmitt	Bf 109G-4	Germany
20284	US	N-number	N109GY	Messerschmitt	Bf 109G-4	United States
5970	US	N-number	N21292	Taylorcraft	BF-50	United States
24114	US	N-number	N4105G	Teeter	BG-12	United States
21639	AU	VH- registration	VH-GDG	Briegleb	BG-12A	Australia
6788	US	US registration (maker is not a UK airframe builder)	N1352	Briegleb	BG-12B	United States
24490	US	N-number	N12RK	Briegleb	BG-12BD	United States
24491	US	N-number	N25470	Briegleb	BG-6	United States
21319	CA	CF- registration	CF-OMO	Haseloh	BH-63Gyroplane	Canada
21220	CA	CF- registration	CF-ATM	Neys	Biplane	Canada
5921	US	N-number	N6077V	EAA	Biplane A-1 P-2	United States
10503	US	N-number	N14K	Brunner-Winkle	Bird A	United States
10508	US	N-number	N787Y	Brunner-Winkle	Bird A	United States
23971	US	N-number	N726N	Brunner-Winkle	Bird CK	United States
6800	US	N-number	N11BJ	Jansson	BJ-1B	United States
22466	NZ	ZK- registration	ZK-GKP	Bikle	BJ-1B	New Zealand
21320	CA	C-F/G registration	C-GUAG	Haseloh	BJ-2Gyroplane	Canada
16654	DE	D- registration	D-HBKA	MBB/Kawasaki	BK 117P2	Germany
21246	CA	C-F/G registration	C-GJIC	Taylorcraft	BL-65	Canada
25530	US	N-number	N23624	Taylorcraft	BL-65	United States
19521	IL	4X- registration	4X-AAI	Taylorcraft	BL-65	Israel
6186	GB	RAF pre-war single-letter serial	L6739	Bristol	Blenheim IF	United Kingdom
15842	GB	RAF pre-war single-letter serial	L8756	Bristol	Blenheim IV	United Kingdom
18740	FR	F- registration	F-CRRI	Boulay-Menin	BM-1	France
19512	IL	4X- registration	4X-AYH	Britten-Norman	BN-2A-21	Israel
15554	GB	G- registration	G-BELF	Britten-Norman	BN-2Islander	United Kingdom
15647	GB	G- registration	G-JOEY	Britten-Norman	BN-2A Mk III Trislander	Guernsey
10670	UG	5X- registration	5X-UAS	Britten-Norman	BN-2A Mk.III	Uganda
15029	DE	D- registration	D-HMQV	Bolkow	Bo 102Helitrainer	United Kingdom
17260	DE	Bundeswehr NN+NN	88+12	MBB	Bo 105	Germany
17422	DE	D- registration	D-HMMM	MBB	Bo 105	Germany
18107	DE	D- registration	D-HDEG	MBB	Bo 105	Germany
11404	AR	LQ- registration	LQ-LAP	MBB	Bo 105A	Argentina
11570	AR	LV- registration	LV-LGR	MBB	Bo 105C	Argentina
23191	NO	LN- registration	LN-OSZ	MBB	Bo 105C	Norway
11571	AR	LQ- registration	LQ-AOF	MBB	Bo 105CBS	Argentina
15058	DE	Bundeswehr NN+NN	81+00	MBB	Bo 105M	United Kingdom
16628	DE	D- registration	D-HTDM	MBB	Bo 105M	Germany
16968	DE	Bundeswehr NN+NN	80+65	MBB	Bo 105M	Germany
18060	DE	Bundeswehr NN+NN	80+38	MBB	Bo 105M	Germany
16710	DE	D- registration	D-HAPE	MBB	Bo 105P	Germany
16917	DE	Bundeswehr NN+NN	86+46	MBB	Bo 105P	Germany
16954	DE	Bundeswehr NN+NN	87+34	MBB	Bo 105P	Germany
17175	DE	Bundeswehr NN+NN	86+32	MBB	Bo 105P	Germany
17327	DE	D- registration	D-HMUY	MBB	Bo 105P	Germany
17328	DE	Bundeswehr NN+NN	87+08	MBB	Bo 105P	Germany
17843	DE	Bundeswehr NN+NN	86+15	MBB	Bo 105P	Germany
16629	DE	Bundeswehr NN+NN	87+75	MBB	Bo 105P-1	Germany
16627	DE	D- registration	D-HAJY	Bölkow	Bo 105V3	Germany
16630	DE	D- registration	D-HBEC	Eurocopter	Bo 108VT2	Germany
17739	DE	D- registration	D-EJLU	Bölkow	Bo 208Junior	Germany
17804	DE	D- registration	D-EFJL	Bölkow	Bo 209Monsun	Germany
10843	BR	PT- registration	PT-AZE	Beechcraft	Bonanza H35	Brazil
3891	US	N-number	N9493Y	Beechcraft	Bonanza N35	United States
16010	GB	G- registration	G-ASPP	Bristol	Boxkite	United Kingdom
6367	US	USAF/US Army fiscal-year serial	67-21596	Ryan	BQM-34A	United States
7718	US	USAF/US Army fiscal-year serial	72-0450	Ryan	BQM-34A	United States
24912	US	USAF/US Army fiscal-year serial	98-8007	Teledyne Ryan	BQM-34A	United States
5145	US	USAF/US Army fiscal-year serial	69-3374	Ryan	BQM-34F	United States
10153	US	USAF/US Army fiscal-year serial	70-1410	Ryan	BQM-34F	United States
24914	US	USAF/US Army fiscal-year serial	71-1812	Teledyne Ryan	BQM-34F	United States
16741	DE	Bundeswehr NN+NN	61+04	Breguet	Br.1150Atlantic	Germany
17087	DE	Bundeswehr NN+NN	61+17	Breguet	Br.1150Atlantic	Germany
17150	DE	Bundeswehr NN+NN	61+13	Breguet	Br.1150Atlantic	Germany
18077	DE	Bundeswehr NN+NN	61+09	Breguet	Br.1150Atlantic	Germany
17413	DE	D- registration	D-EAFB	Fischer	Brause 35	Germany
23965	US	US registration (maker is not a UK airframe builder)	N2766	RLU	Breezy GE-1	United States
15921	GB	RAF two-letter serial	RH746	Bristol	Brigand TF.1	United Kingdom
6188	GB	G- registration	G-AOVT	Bristol	Britannia-312	United Kingdom
15809	GB	G- registration	G-AOVF	Bristol	Britannia-312	United Kingdom
14660	GB	RAF two-letter serial	XM496	Bristol	Britannia C.1	United Kingdom
14208	GB	RAF two-letter serial	VX447	Bristol	Britannia Series 101	United Kingdom
6787	US	N-number	N64JJ	Bowlus	BS-100	United States
24488	US	N-number	N33658	Bowlus	BS-100	United States
10635	US	US registration (maker is not a UK airframe builder)	N8543	Waco	BSO	United States
10562	US	N-number	N33900	Mercury	BT-120	United States
1062	US	USAF/US Army fiscal-year serial	41-21933	Vultee	BT-13	United States
2840	US	USAF/US Army fiscal-year serial	41-22077	Vultee	BT-13	United States
2841	US	N-number	N75789	Vultee	BT-13	United States
7086	US	N-number	N441SN	Vultee	BT-13	United States
7804	US	N-number	N67316	Vultee	BT-13	United States
25395	US	USAF/US Army fiscal-year serial	42-1639	Vultee	BT-13	United States
25413	US	USAF/US Army fiscal-year serial	42-88708	Vultee	BT-13	United States
185	US	USAF/US Army fiscal-year serial	41-21487	Vultee	BT-13A	United States
186	US	N-number	N54865	Vultee	BT-13A	United States
1916	US	USAF/US Army fiscal-year serial	41-22386	Vultee	BT-13A	United States
5294	US	USAF/US Army fiscal-year serial	42-42353	Vultee	BT-13A	United States
6935	US	N-number	N27003	Vultee	BT-13A	United States
6952	US	N-number	N9743N	Vultee	BT-13A	United States
7164	US	N-number	N60795	Vultee	BT-13A	United States
7583	US	USAF/US Army fiscal-year serial	41-10683	Vultee	BT-13A	United States
7683	US	USAF/US Army fiscal-year serial	41-10418	Vultee	BT-13A	United States
7712	US	USAF/US Army fiscal-year serial	41-11584	Vultee	BT-13A	United States
8520	US	USAF/US Army fiscal-year serial	41-21271	Vultee	BT-13A	United States
20163	US	USAF/US Army fiscal-year serial	42-1574	Vultee	BT-13A	United States
20178	US	N-number	N73778	Vultee	BT-13A	United States
20276	US	N-number	N413BT	Vultee	BT-13A	United States
24041	US	N-number	N60277	Vultee	BT-13A	United States
26860	US	USAF/US Army fiscal-year serial	41-21386	Vultee	BT-13A	United States
26882	US	USAF/US Army fiscal-year serial	41-11538	Vultee	BT-13A	United States
27041	US	USAF/US Army fiscal-year serial	41-9645	Vultee	BT-13A	United States
27079	US	USAF/US Army fiscal-year serial	41-22204	Vultee	BT-13A	United States
422	US	USAF/US Army fiscal-year serial	42-89678	Vultee	BT-13B	United States
595	US	USAF/US Army fiscal-year serial	42-90054	Vultee	BT-13B	United States
5194	US	USAF/US Army fiscal-year serial	42-90629	Vultee	BT-13B	United States
6569	US	USAF/US Army fiscal-year serial	42-90406	Vultee	BT-13B	United States
6843	US	USAF/US Army fiscal-year serial	42-90296	Vultee	BT-13B	United States
20164	US	N-number	N58577	Vultee	BT-13B	United States
24059	US	N-number	N56867	Vultee	BT-13B	United States
24943	US	USAF/US Army fiscal-year serial	42-90018	Vultee	BT-13B	United States
575	US	USAF/US Army fiscal-year serial	79-1220	Vultee	BT-15	United States
6617	US	N-number	N128MW	Vultee	BT-15	United States
7438	US	N-number	N69605	Consolidated Vultee	BT-15	United States
26875	US	USAF/US Army fiscal-year serial	42-41689	Vultee	BT-15	United States
14789	GB	G- registration	G-ESMK	Bucker	Bu 131B	United Kingdom
16846	DE	D- registration	D-EBAD	Bücker	Bü 131B	Germany
16899	DE	D- registration	D-EAZO	Bücker	Bü 131B Jungmann	Germany
17238	DE	D- registration	D-EJTR	Bücker	Bü 131B Jungmann	Germany
17618	CH	HB- registration	HB-USC	Bücker	Bü 131B Jungmann	Germany
17738	DE	D- registration	D-EQXA	Bücker	Bü 131Jungmann	Germany
5922	US	N-number	N258H	Bucker	Bu 133	United States
5768	US	N-number	N15696	Bucker	Bu 133C	United States
16057	GB	G- registration	G-CMCX	Bucker	Bu 133C	United Kingdom
20246	US	N-number	N38BU	Bucker	Bu 133C	United States
17239	DE	D- registration	D-EPAX	Bücker	Bü 133C Jungmeister	Germany
17806	DE	D- registration	D-EAUU	Bücker	Bü 133Jungmeister	Germany
23376	DK	OY- registration	OY-AVZ	Bucker	Bu 181	Denmark
18079	DE	D- registration	D-EBUC	Bücker	Bü 181B-1	Germany
17805	DE	D- registration	D-ECYV	Bücker	Bü 181Bestmann	Germany
14516	GB	RAF two-letter serial	XN928	Blackburn	Buccaneer S.1	United Kingdom
14532	GB	RAF two-letter serial	XN967	Blackburn	Buccaneer S.1	United Kingdom
14889	GB	RAF two-letter serial	XN957	Blackburn	Buccaneer S.1	United Kingdom
14925	GB	RAF two-letter serial	XK488	Blackburn	Buccaneer S.1	United Kingdom
14970	GB	RAF two-letter serial	XN923	Blackburn	Buccaneer S.1	United Kingdom
15453	GB	RAF two-letter serial	XN964	Blackburn	Buccaneer S.1	United Kingdom
15871	GB	RAF two-letter serial	XN962	Blackburn	Buccaneer S.1	United Kingdom
14338	GB	RAF two-letter serial	XK526	Blackburn	Buccaneer S.2	United Kingdom
16488	GB	RAF two-letter serial	XN974	Blackburn	Buccaneer S.2A	United Kingdom
6217	GB	RAF two-letter serial	XV865	Hawker Siddeley	Buccaneer S.2B	United Kingdom
14168	GB	RAF two-letter serial	XX899	Blackburn	Buccaneer S.2B	United Kingdom
14172	GB	RAF two-letter serial	XV350	Blackburn	Buccaneer S.2B	United Kingdom
14736	GB	RAF two-letter serial	XT280	Hawker Siddeley	Buccaneer S.2B	United Kingdom
14894	GB	RAF two-letter serial	XV333	Blackburn	Buccaneer S.2B	United Kingdom
15579	GB	RAF two-letter serial	XT288	Hawker Siddeley	Buccaneer S.2B	United Kingdom
15692	GB	RAF two-letter serial	XV352	Blackburn	Buccaneer S.2B	United Kingdom
15693	GB	RAF two-letter serial	XV864	Blackburn	Buccaneer S.2B	United Kingdom
15805	GB	RAF two-letter serial	XW547	Blackburn	Buccaneer S.2B	United Kingdom
16142	GB	RAF two-letter serial	XX889	Blackburn	Buccaneer S.2B	United Kingdom
16250	GB	RAF two-letter serial	XX888	Blackburn	Buccaneer S.2B	United Kingdom
16252	GB	RAF two-letter serial	XZ431	Blackburn	Buccaneer S.2B	United Kingdom
16333	GB	RAF two-letter serial	XX895	Blackburn	Buccaneer S.2B	United Kingdom
16346	GB	RAF two-letter serial	XV361	Blackburn	Buccaneer S.2B	United Kingdom
16489	GB	RAF two-letter serial	XV168	Blackburn	Buccaneer S.2B	United Kingdom
16490	GB	RAF two-letter serial	XX901	Blackburn	Buccaneer S.2B	United Kingdom
18078	GB	RAF two-letter serial	XX892	Blackburn	Buccaneer S.2B	Germany
15654	GB	RAF two-letter serial	XV344	Blackburn	Buccaneer S.2C	United Kingdom
17750	GB	RAF two-letter serial	XV337	Blackburn	Buccaneer S.2C	Germany
21165	CA	C-F/G registration	C-IDWT	Buzzman	Buccaneer SX	Canada
14669	GB	G- registration	G-BCUO	Scottish Aviation	Bulldog-122	United Kingdom
15745	GB	RAF pre-war single-letter serial	K2227	Bristol	Bulldog IIA	United Kingdom
14452	GB	RAF two-letter serial	XX513	Scottish Aviation	Bulldog T.1	United Kingdom
14520	GB	RAF two-letter serial	XX687	Scottish Aviation	Bulldog T.1	United Kingdom
15015	GB	RAF two-letter serial	XX520	Scottish Aviation	Bulldog T.1	United Kingdom
15399	GB	RAF two-letter serial	XX668	Scottish Aviation	Bulldog T.1	United Kingdom
15514	GB	RAF two-letter serial	XX634	Scottish Aviation	Bulldog T.1	United Kingdom
15913	GB	RAF two-letter serial	XX654	Scottish Aviation	Bulldog T.1	United Kingdom
16248	GB	RAF two-letter serial	XX669	Scottish Aviation	Bulldog T.1	United Kingdom
16367	GB	RAF two-letter serial	XX637	Scottish Aviation	Bulldog T.1	United Kingdom
18145	FR	F- registration	F-AZKJ	Scottish Aviation	Bulldog T.Mk 1	France
5276	US	N-number	N83WS	Starr	Bumble Bee	United States
7111	US	N-number	N7501V	Stout	Bushmaster-2000	United States
5965	US	N-number	N18268	Wittman	Buttercup	United States
16172	GB	G- registration	G-MMNN	Sherry	Buzzard	United Kingdom
1044	US	USAF/US Army fiscal-year serial	51-17651	Douglas	C-118A	United States
7422	US	USAF/US Army fiscal-year serial	51-17640	Douglas	C-118A	United States
12967	CO	HK- registration	HK-1703	Douglas	C-118A	Colombia
12968	CO	HK- registration	HK-3301	Douglas	C-118A	Colombia
25604	US	USAF/US Army fiscal-year serial	53-3255	Douglas	C-118A	United States
371	US	USAF/US Army fiscal-year serial	49-0199	Fairchild	C-119C	United States
7419	US	USAF/US Army fiscal-year serial	51-2567	Fairchild	C-119C	United States
24966	US	USAF/US Army fiscal-year serial	51-2566	Fairchild	C-119C	United States
25383	US	USAF/US Army fiscal-year serial	48-0352	Fairchild	C-119C	United States
24068	US	N-number	N175ML	Fairchild	C-119F	United States
1045	US	USAF/US Army fiscal-year serial	53-22134	Fairchild	C-119G	United States
5057	US	USAF/US Army fiscal-year serial	53-8154	Fairchild	C-119G	United States
8257	US	USAF/US Army fiscal-year serial	51-8024	Fairchild	C-119G	United States
25860	US	USAF/US Army fiscal-year serial	50-0128	Fairchild	C-119G	United States
26227	US	N-number	N15505	Fairchild	C-119G	United States
26511	US	USAF/US Army fiscal-year serial	52-5850	Fairchild	C-119G	United States
26549	US	US registration (maker is not a UK airframe builder)	N3003	Fairchild	C-119G	United States
20147	US	USAF/US Army fiscal-year serial	53-8084	Fairchild	C-119L	United States
25854	US	USAF/US Army fiscal-year serial	53-8087	Fairchild	C-119L	United States
31087	US	USAF/US Army fiscal-year serial	53-8076	Fairchild	C-119L	United States
31088	US	USAF/US Army fiscal-year serial	53-8150	Fairchild	C-119L	United States
9731	US	USAF/US Army fiscal-year serial	73-22250	Beechcraft	C-12C	United States
5835	US	USAF/US Army fiscal-year serial	54-0177	Lockheed	C-121C	United States
21979	AU	VH- registration	VH-EAG	Lockheed	C-121C	Australia
25931	US	USAF/US Army fiscal-year serial	54-0180	Lockheed	C-121C	United States
4008	US	USAF/US Army fiscal-year serial	55-4505	Fairchild	C-123B	United States
27316	US	N-number	N3144W	Fairchild	C-123B	United States
27288	US	USAF/US Army fiscal-year serial	56-4395	Fairchild	C-123J	United States
133	US	USAF/US Army fiscal-year serial	54-0612	Fairchild	C-123K	United States
372	US	USAF/US Army fiscal-year serial	55-4512	Fairchild	C-123K	United States
1046	US	USAF/US Army fiscal-year serial	55-4507	Fairchild	C-123K	United States
6572	US	USAF/US Army fiscal-year serial	56-4361	Fairchild	C-123K	United States
7290	US	USAF/US Army fiscal-year serial	54-0604	Fairchild	C-123K	United States
7420	US	USAF/US Army fiscal-year serial	54-0668	Fairchild	C-123K	United States
8938	US	USAF/US Army fiscal-year serial	54-0525	Fairchild	C-123K	Philippines
8961	US	USAF/US Army fiscal-year serial	54-0624	Fairchild	C-123K	Philippines
20150	US	USAF/US Army fiscal-year serial	55-4567	Fairchild	C-123K	United States
20188	US	USAF/US Army fiscal-year serial	54-0674	Fairchild	C-123K	United States
24965	US	USAF/US Army fiscal-year serial	54-0633	Fairchild	C-123K	United States
25385	US	USAF/US Army fiscal-year serial	54-0658	Fairchild	C-123K	United States
25536	US	USAF/US Army fiscal-year serial	54-0681	Fairchild	C-123K	United States
25537	US	USAF/US Army fiscal-year serial	54-0592	Fairchild	C-123K	United States
25853	US	USAF/US Army fiscal-year serial	54-0609	Fairchild	C-123K	United States
25859	US	USAF/US Army fiscal-year serial	54-0669	Fairchild	C-123K	United States
26979	US	USAF/US Army fiscal-year serial	54-0695	Fairchild	C-123K	United States
25370	US	USAF/US Army fiscal-year serial	49-0258	Douglas	C-124A	United States
1047	US	USAF/US Army fiscal-year serial	52-1000	Douglas	C-124C	United States
3988	US	USAF/US Army fiscal-year serial	52-1004	Douglas	C-124C	United States
4151	US	USAF/US Army fiscal-year serial	52-1066	Douglas	C-124C	United States
5686	US	USAF/US Army fiscal-year serial	52-0994	Douglas	C-124C	United States
6518	US	USAF/US Army fiscal-year serial	53-0050	Douglas	C-124C	United States
24952	US	USAF/US Army fiscal-year serial	51-0089	Douglas	C-124C	United States
25933	US	USAF/US Army fiscal-year serial	52-1072	Douglas	C-124C	United States
36	US	USAF/US Army fiscal-year serial	57-0457	Lockheed	C-130A	United States
7288	US	USAF/US Army fiscal-year serial	55-0023	Lockheed	C-130A	United States
8400	US	USAF/US Army fiscal-year serial	55-0037	Lockheed	C-130A	United States
10327	US	USAF/US Army fiscal-year serial	57-0464	Lockheed	C-130A	United States
20156	US	USAF/US Army fiscal-year serial	56-0518	Lockheed	C-130A	United States
22236	AU	RAAF A-series serial	A97-214	Lockheed	C-130A	Australia
24190	US	USAF/US Army fiscal-year serial	54-1622	Lockheed	C-130A	United States
24560	US	USAF/US Army fiscal-year serial	57-0460	Lockheed	C-130A	United States
24875	US	USAF/US Army fiscal-year serial	57-0478	Lockheed	C-130A	United States
24901	US	USAF/US Army fiscal-year serial	56-0498	Lockheed	C-130A	United States
25255	US	USAF/US Army fiscal-year serial	55-0019	Lockheed	C-130A	United States
26409	US	USAF/US Army fiscal-year serial	57-0514	Lockheed	C-130A	United States
4494	US	USAF/US Army fiscal-year serial	57-0493	Lockheed	C-130D	United States
24692	US	USAF/US Army fiscal-year serial	57-0490	Lockheed	C-130D	United States
26838	US	USAF/US Army fiscal-year serial	57-0485	Lockheed	C-130D	United States
37	US	USAF/US Army fiscal-year serial	62-1787	Lockheed	C-130E	United States
827	US	USAF/US Army fiscal-year serial	61-2358	Lockheed	C-130E	United States
5687	US	USAF/US Army fiscal-year serial	62-1789	Lockheed	C-130E	United States
6527	US	USAF/US Army fiscal-year serial	64-0569	Lockheed	C-130E	United States
6654	US	USAF/US Army fiscal-year serial	62-1846	Lockheed	C-130E	United States
7289	US	USAF/US Army fiscal-year serial	69-6579	Lockheed	C-130E	United States
8086	US	USAF/US Army fiscal-year serial	70-1259	Lockheed	C-130E	United States
20142	US	USAF/US Army fiscal-year serial	62-1829	Lockheed	C-130E	United States
20151	US	USAF/US Army fiscal-year serial	61-2362	Lockheed	C-130E	United States
22238	AU	RAAF A-series serial	A97-160	Lockheed	C-130E	Australia
24956	US	USAF/US Army fiscal-year serial	63-7868	Lockheed	C-130E	United States
25379	US	USAF/US Army fiscal-year serial	69-6580	Lockheed	C-130E	United States
25664	US	USAF/US Army fiscal-year serial	68-10935	Lockheed	C-130E	United States
25850	US	USAF/US Army fiscal-year serial	64-0525	Lockheed	C-130E	United States
25858	US	USAF/US Army fiscal-year serial	70-1269	Lockheed	C-130E	United States
25895	US	USAF/US Army fiscal-year serial	61-2367	Lockheed	C-130E	United States
26408	US	USAF/US Army fiscal-year serial	62-1848	Lockheed	C-130E	United States
26668	US	USAF/US Army fiscal-year serial	62-1862	Lockheed	C-130E	United States
26675	US	USAF/US Army fiscal-year serial	63-7877	Lockheed	C-130E	United States
26780	US	USAF/US Army fiscal-year serial	62-1798	Lockheed	C-130E	United States
27243	US	USAF/US Army fiscal-year serial	63-7861	Lockheed	C-130E	United States
27286	US	USAF/US Army fiscal-year serial	64-0533	Lockheed	C-130E	United States
8495	US	USAF/US Army fiscal-year serial	88-4401	Lockheed	C-130H	United States
20104	US	USAF/US Army fiscal-year serial	86-0410	Lockheed	C-130H	United States
22237	AU	RAAF A-series serial	A97-011	Lockheed	C-130H	Australia
22412	AU	RAAF A-series serial	A97-010	Lockheed	C-130H	Australia
22449	NZ	RNZAF serial	NZ7001	Lockheed	C-130H	New Zealand
25243	US	USAF/US Army fiscal-year serial	80-0322	Lockheed	C-130H	United States
27214	US	USAF/US Army fiscal-year serial	73-1598	Lockheed	C-130H	United States
39	US	USAF/US Army fiscal-year serial	99-1431	Lockheed Martin	C-130J	United States
15814	GB	RAF two-letter serial	XV202	Lockheed	C-130K C.3	United Kingdom
15806	US	USAF/US Army fiscal-year serial	64-0553	Lockheed	C-130WC-130E	United Kingdom
8090	US	USAF/US Army fiscal-year serial	52-5794	Convair	C-131A	United States
26435	US	USAF/US Army fiscal-year serial	53-7813	Convair	C-131B	United States
97	US	USAF/US Army fiscal-year serial	54-2808	Convair	C-131D	United States
1048	US	USAF/US Army fiscal-year serial	54-2806	Convair	C-131D	United States
26410	US	USAF/US Army fiscal-year serial	55-0293	Convair	C-131D	United States
27080	US	USAF/US Army fiscal-year serial	55-0292	Convair	C-131D	United States
26840	US	USAF/US Army fiscal-year serial	55-4757	Convair	C-131E	United States
1049	US	USAF/US Army fiscal-year serial	56-1999	Douglas	C-133A	United States
3989	US	USAF/US Army fiscal-year serial	59-0527	Douglas	C-133B	United States
