name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
"Praça Aeronaval Amazônia Azul, Balneário Piçarras",Balneário Piçarras,Santa Catarina,Brazil,,South America,"Praça Aeronaval Amazônia Azul, Museu Oceanográfico Univali, Balneário Piçarras, SC",,public,-26.76389,-48.67167
"Parque Leopoldo Moritz T-6 Monument, Brusque",Brusque,Santa Catarina,Brazil,,South America,"Parque Leopoldo Moritz ('Parque da Caixa d'Água'), Brusque, SC",,public,-27.09646,-48.91363
"Surreal Park Boeing 727, Camboriú",Camboriú,Santa Catarina,Brazil,,South America,"Surreal Park, Avenida João da Costa 3051, Camboriú, SC",,public,-27.02736,-48.65357
"Asas do Vale T-25 Universal, Gaspar",Gaspar,Santa Catarina,Brazil,,South America,"Entrance of the Clube de Aeromodelismo Asas do Vale, road to Ilhota, Gaspar, SC",,public,-26.93073,-48.95668
Hangar 01 Pedras Grandes AMX,Pedras Grandes,Santa Catarina,Brazil,,South America,"Parque Casa dos Arcos, Pedras Grandes, SC",,public,-28.43579,-49.18641
"Praça Tenente Sapucaia T-6 Monument, Rio Negrinho",Rio Negrinho,Santa Catarina,Brazil,,South America,"Praça Tenente Sapucaia ('Praça do Avião'), by the Prefeitura, Rio Negrinho, SC",,public,-26.25907,-49.51775
"Aeroclube de Santa Catarina Xavante, São José",São José,Santa Catarina,Brazil,,South America,"Entrance of the Aeroclube de Santa Catarina, São José, SC",,public,-27.61577,-48.62765
"Posto do Avião YS-11, Tijucas",Tijucas,Santa Catarina,Brazil,,South America,"Fuel station/snack bar on the BR-101 (southbound side, past the Bombinhas exit), Tijucas, SC",,public,-27.23940,-48.63537
"Praça Memorial Aeroporto Anita Garibaldi T-25, Tubarão",Tubarão,Santa Catarina,Brazil,,South America,"Praça Memorial Aeroporto Anita Garibaldi ('Praça do Avião'), Avenida Afonso Pena, Bairro Recife, Tubarão, SC",,public,-28.47149,-49.01413
Aeroporto de Cachoeira do Sul Xavante Monument,Cachoeira do Sul,Rio Grande do Sul,Brazil,,South America,"Aeroporto Municipal de Cachoeira do Sul, RS",,public,-30.04822,-52.89017
"Praça do Avião Gloster Meteor, Canoas",Canoas,Rio Grande do Sul,Brazil,92120-110,South America,"Praça Santos Dumont ('Praça do Avião'), Rua Santos Dumont, centro, Canoas, RS",,public,-29.92160,-51.17995
"ULBRA Xavante, Canoas",Canoas,Rio Grande do Sul,Brazil,,South America,"Universidade Luterana do Brasil (ULBRA) campus / Museu de Tecnologia, Canoas, RS",,public,-29.92160,-51.17995
"Rotatória V COMAR Xavante, Canoas",Canoas,Rio Grande do Sul,Brazil,,South America,"Roundabout in front of the V COMAR / Base Aérea de Canoas area, Canoas, RS",,public,-29.92160,-51.17995
Aeroporto de Capão da Canoa Bonanza,Capão da Canoa,Rio Grande do Sul,Brazil,,South America,"Aeroporto de Capão da Canoa, RS",,public,-29.76305,-50.03611
"Posto do Avião Navion, Chapada",Chapada,Rio Grande do Sul,Brazil,,South America,"Pedestal in front of the Posto Coagril fuel station ('Posto Avião'), Chapada, RS",,public,-28.05878,-53.06575
"Praça Boleslau Skorupski T-6 Monument, Erechim",Erechim,Rio Grande do Sul,Brazil,,South America,"Praça Boleslau Skorupski, Erechim, RS",,public,-27.63507,-52.27387
"Stone Hall Garden Bandeirante, Farroupilha",Farroupilha,Rio Grande do Sul,Brazil,,South America,"Stone Hall Garden, São Marcos community (beside Caminhos de Pedra), Farroupilha, RS",,public,-29.22647,-51.34682
"Vinícola Gazzaro L-410, Flores da Cunha",Flores da Cunha,Rio Grande do Sul,Brazil,,South America,"Vinícola Gazzaro, Distrito de Otávio Rocha, Flores da Cunha, RS",,public,-29.03013,-51.18333
"Posto do Avião DC-3, Garibaldi",Garibaldi,Rio Grande do Sul,Brazil,,South America,"Posto do Avião (fuel station/churrascaria) on the RS-470 between Garibaldi and Bento Gonçalves, RS",,public,-29.25623,-51.52692
"Jardim Secreto do Capitão, Gramado",Gramado,Rio Grande do Sul,Brazil,,South America,"Rodovia RS-466 nº 100, Estrada Vicinal Caracol - Mato Queimado (Estr. Parque dos Pinheiros), Gramado, RS",https://www.jardimsecretodocapitao.com.br/,public,-29.37929,-50.87370
"Praça da Igreja Luterana Xavante, Mata",Mata,Rio Grande do Sul,Brazil,,South America,"Praça Martimiano Egres da Costa, in front of the Igreja Luterana, Mata, RS",,public,-29.56376,-54.45909
"Praça do Avião Xavante, Paulo Bento",Paulo Bento,Rio Grande do Sul,Brazil,,South America,"Praça do Avião, in front of the Igreja/Museu, Paulo Bento, RS",,public,-27.70344,-52.42202
"Boulevard Laçador DC-3, Porto Alegre",Porto Alegre,Rio Grande do Sul,Brazil,,South America,"Boulevard Laçador / Varig Experience, Aeroporto Salgado Filho, Porto Alegre, RS",,public,-30.10092,-51.18879
"Praça das Forças Armadas Xavante, Rio Grande",Rio Grande,Rio Grande do Sul,Brazil,,South America,"Praça das Forças Armadas, beside the bus station near the Army barracks, Rio Grande, RS",,public,-32.03343,-52.09913
"Praça RSC-287 Xavante, Santa Maria",Santa Maria,Rio Grande do Sul,Brazil,,South America,"Roadside square/portal on the RSC-287 in front of Base Aérea de Santa Maria, RS",,public,-29.68605,-53.80692
"Rotatória Fernando Ferrari H-1H Monument, Santa Maria",Santa Maria,Rio Grande do Sul,Brazil,,South America,"Roundabout on Avenida Fernando Ferrari at the BR-158 access, Santa Maria, RS",,public,-29.68605,-53.80692
"UFSM Engineering Hangar AMX, Santa Maria",Santa Maria,Rio Grande do Sul,Brazil,,South America,"Hangar of the aerospace engineering course, Universidade Federal de Santa Maria, RS",,appointment,-29.68605,-53.80692
"Complexo Turístico Pedra Caída Boeing 727, Carolina",Carolina,Maranhão,Brazil,,South America,"Complexo Turístico Pedra Caída, Carolina, MA",,public,-7.33134,-47.47388
"Faculdade AGES HS-125, Lagarto",Lagarto,Sergipe,Brazil,,South America,"Faculdade AGES campus, Lagarto, SE",,appointment,-10.91450,-37.67111
