Hjalmar Nyrops varv|Blériot XI||3|||fixed_wing|monoplane|military|other||The oldest preserved aeroplane in Sweden.|Bleriot XI;Nyrop nr 3|on_display|Tekniska museet
Saab|J 35|F-1|35409|Draken||fixed_wing|monoplane|military|fighter||Last flight 12 June 1991 with 2287 hours total time; formally struck off charge 1998. Displayed on a pole as gate guard at the former Skanska flygflottiljen (F 10) at Valhall Park.|Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|Valhall Park
Saab|J 35|F-1|35410|Draken||fixed_wing|monoplane|military|fighter||Forward fuselage only.|Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|Flygvapenmuseum
Saab|J 35|F-1|35415|Draken||fixed_wing|monoplane|military|fighter||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|Aeroseum
Saab|J 35|F-1|35429|Draken||fixed_wing|monoplane|military|fighter||Delivered 1966. Displayed for some years at the now-closed Gotlands flygmuseum in Visby and moved here in 2011. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|Gotlands Försvarsmuseum
Saab|J 35|F-1|35457|Draken||fixed_wing|monoplane|military|fighter|||Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|Österlens Flygmuseum
Saab|J 35|F-1|35482|Draken||fixed_wing|monoplane|military|fighter||Forward fuselage only. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|Aeroseum
Saab|J 35|F-1|35490|Draken||fixed_wing|monoplane|military|fighter||Gate guard displayed outdoors.|Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|F 16 Flygmuseum
Saab|J 35|F-1|35496|Draken||fixed_wing|monoplane|military|fighter||Delivered 1967. Ownership passed from the Armed Forces to Flygvapenmuseum in autumn 2017 while the aircraft stood outdoors at Vasteras; moved to Soderhamn in autumn 2018 where it is displayed outdoors. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer). The dedicated Draken list still shows this aircraft at Vasteras; the more detailed main list records the 2018 move to Soderhamn which is followed here.|Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|F 15 Flygmuseum
Saab|J 35|J|35502|Draken||fixed_wing|monoplane|military|fighter||On loan to the museum since 2011. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Österlens Flygmuseum
Saab|J 35|F-2|35528|Draken||fixed_wing|monoplane|military|fighter||Wears fictitious markings F 9 - 00.|Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|Aeroseum
Saab|J 35|J|35537|Draken||fixed_wing|monoplane|military|fighter||Delivered 1968 as a J 35F-2 and rebuilt to J 35J standard between 1987 and 1991. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Österlens Flygmuseum
Saab|J 35|J|35539|Draken||fixed_wing|monoplane|military|fighter||In storage; not on public display.|Draken;Saab 35;Saab35;J35;J35J;J35-J|in_storage|Flygvapenmuseum
Saab|J 35|J|35540|Draken|Johan Blå|fixed_wing|monoplane|military|fighter||Named Johan Bla for its blue finish. Delivered 1968 as a J 35F-2 and rebuilt to J 35J. Flew the Swedish Air Force's last official Draken sortie on 8 December 1998 with Per Amelin of 102 squadron at F 10. To Flygvapenmuseum 1999 and on loan here since 2008. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Österlens Flygmuseum
Saab|J 35|F-2|35542|Draken||fixed_wing|monoplane|military|fighter||Forward fuselage only. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|Svedinos Bil- och Flygmuseum
Saab|J 35|J|35545|Draken||fixed_wing|monoplane|military|fighter||On loan to the museum since 2011. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Gotlands Försvarsmuseum
Saab|J 35|F-2|35550|Draken||fixed_wing|monoplane|military|fighter||Gate guard on a pole at the entrance to the Saab plant.|Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|Saab AB Linköping
Saab|J 35|F-2|35551|Draken||fixed_wing|monoplane|military|fighter||Displayed as a simulated crash site.|Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|Kalixlinjens Museum
Saab|J 35|F-2|35555|Draken||fixed_wing|monoplane|military|fighter||Displayed in the museum's indoor collection.|Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|Västerås Flygmuseum
Saab|J 35|F-2|35566|Draken||fixed_wing|monoplane|military|fighter||Struck off charge and transferred to the Gripen school at Nykoping; to Vannas motormuseum in 2010 and to SCAMA at Vaderstad in 2022. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|Scandinavian Manufacturing SCAMA
Saab|J 35|F|35576|Draken||fixed_wing|monoplane|military|fighter||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35F;J35-F|on_display|Svedinos Bil- och Flygmuseum
Saab|J 35|F-2|35583|Draken||fixed_wing|monoplane|military|fighter||Gate guard on a pole at the entrance to Flygteknikcentrum at the former F 1 Vasteras.|Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|Flygteknikcentrum Västerås
Saab|J 35|J|35582|Draken||fixed_wing|monoplane|military|fighter||Displayed outdoors.|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Rinkaby skjutfält
Saab|J 35|J|35584|Draken||fixed_wing|monoplane|military|fighter||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer). Displayed outdoors in the Mannaminne art and culture park at Nordingrå. Recorded as J 35J; one secondary source gives J 35F-2.|Draken;Saab 35;Saab35;J35;J35J;J35-J;J35F;J35F2|on_display|Mannaminne
Saab|J 35|J|35586|Draken||fixed_wing|monoplane|military|fighter||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Aeroseum
Saab|J 35|F-2|35592|Draken||fixed_wing|monoplane|military|fighter|||Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|Österlens Flygmuseum
Saab|J 35|F-2|35597|Draken||fixed_wing|monoplane|military|fighter||Delivered 1969 and served with F 10 until struck off charge. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35F-2;J35-F-2|on_display|F11 Museum
Saab|J 35|J|35598|Draken||fixed_wing|monoplane|military|fighter||Displayed as gate guard outside the museum entrance. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Aeroseum
Saab|J 35|J|35604|Draken||fixed_wing|monoplane|military|fighter||Delivered 1970 as a J 35F-2 and rebuilt to J 35J. Used as a rescue training airframe at Ostersund after withdrawal then at Jamtlands flyg- och lottamuseum; at RFN museum since 2008. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|RFN Museum Vidsel
Saab|J 35|J|35606|Draken||fixed_wing|monoplane|military|fighter||Nose section with cockpit only. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Ängelholms Flygmuseum
Saab|J 35|J|35616|Draken||fixed_wing|monoplane|military|fighter||Swedish Wikipedia's dedicated Draken list places this airframe at the Volvo Museum in Gothenburg while the main preserved-aircraft list places it at Osterlens Flygmuseum; the Volvo Museum at Arendal closed in December 2023 so the Osterlen placing is followed here. Needs on-site confirmation.|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Österlens Flygmuseum
Saab|J 35|J|35624|Draken||fixed_wing|monoplane|military|fighter||Delivered 1972 as a J 35F-2 and rebuilt to J 35J. Received here on loan in 2011. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Bunge Flygmuseum
Saab|J 35|J|35630|Draken||fixed_wing|monoplane|military|fighter||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Ängelholms Flygmuseum
Saab|J 35|J|35612|Draken||fixed_wing|monoplane|military|fighter|||Draken;Saab 35;Saab35;J35;J35J;J35-J|on_display|Stenbäcks Flygmuseum
Saab|Sk 35|C|35811|Draken||fixed_wing|monoplane|military|trainer||Converted from J 35A 35017. In storage.|Draken;Saab 35;Saab35;Sk35;Sk35C;Sk35-C|in_storage|Flygvapenmuseum
Saab|Sk 35|C|35824|Draken||fixed_wing|monoplane|military|trainer||Converted from J 35A 35033. On loan to Osterlens Flygmuseum since 2011 and held as a spares source for the airworthy Sk 35C 35810. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;Sk35;Sk35C;Sk35-C|on_display|Österlens Flygmuseum
Saab|S 35|E|35902|Draken||fixed_wing|monoplane|military|recon||Erected as a gate guard at Stagarden in Bollnas on 12 June 1999; moved here on loan in 2015. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;S35;S35E;S35-E|on_display|Österlens Flygmuseum
Saab|S 35|E|35906|Draken||fixed_wing|monoplane|military|recon||Delivered to the Swedish Air Force in 1965. Taken over by Flygvapenmuseum after service and placed on loan at Osterlens Flygmuseum in 2008. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;S35;S35E;S35-E|on_display|Österlens Flygmuseum
Saab|S 35|E|35916|Draken||fixed_wing|monoplane|military|recon||Delivered 1966 and withdrawn in 1979 with just over 1500 flying hours. On loan to F11 Museum since 2008. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;S35;S35E;S35-E|on_display|F11 Museum
Saab|S 35|E|35937|Draken||fixed_wing|monoplane|military|recon||Forward fuselage only. Converted from J 35D 35296. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;S35;S35E;S35-E|on_display|Flygmuseet F 21
Saab|S 35|E|35945|Draken||fixed_wing|monoplane|military|recon||Converted from J 35D 35299.|Draken;Saab 35;Saab35;S35;S35E;S35-E|on_display|Autoseum
Saab|S 35|E|35949|Draken||fixed_wing|monoplane|military|recon||Gate guard at the entrance to the civil terminal. Erected 1 November 1984; removed in March 2019 and returned to its pole on 20 November 2019 after refurbishment.|Draken;Saab 35;Saab35;S35;S35E;S35-E|on_display|Luleå Airport
Saab|S 35|E|35952|Draken||fixed_wing|monoplane|military|recon||Converted from J 35D 35290. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;S35;S35E;S35-E|on_display|Flygmuseet F 21
Saab|S 35|E|35959|Draken||fixed_wing|monoplane|military|recon||Converted from J 35D 35281. Placed as gate guard at the northern end of the runway by the museum on 22 October 2018. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;S35;S35E;S35-E|on_display|F11 Museum
Saab|Saab 37||37-6|Viggen||fixed_wing|monoplane|military|experimental|||Viggen;Saab37|on_display|Västerås Flygmuseum
Saab|AJS 37||37009|Viggen||fixed_wing|monoplane|military|ground_attack||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Viggen;Saab 37;Saab37;AJS37|on_display|F 15 Flygmuseum
Saab|AJ 37||37016|Viggen||fixed_wing|monoplane|military|ground_attack||Forward fuselage only; the serial number is uncertain.|Viggen;Saab 37;Saab37;AJ37|on_display|Svedinos Bil- och Flygmuseum
Saab|AJ 37||37025|Viggen||fixed_wing|monoplane|military|ground_attack||Forward fuselage only; originally marked 7-25 6-25 7-02 and 10-25 and now incorrectly marked in the 16 series. Previously at Arboga Robotmuseum; taken over in 2020 for conversion to a simulator.|Viggen;Saab 37;Saab37;AJ37|on_display|Västerås Flygmuseum
Saab|AJS 37||37027|Viggen||fixed_wing|monoplane|military|ground_attack||Previously on loan to Teknikens och sjofartens hus in Malmo; moved in 2019 and now stored at Stenbacks Flygmuseum.|Viggen;Saab 37;Saab37;AJS37|in_storage|Stenbäcks Flygmuseum
Saab|AJ 37||37034|Viggen||fixed_wing|monoplane|military|ground_attack||Currently marked 7-37; originally marked 7-34 and 6-34.|Viggen;Saab 37;Saab37;AJ37|on_display|Saab Car Museum Innovatum
Saab|AJS 37||37056|Viggen||fixed_wing|monoplane|military|ground_attack|||Viggen;Saab 37;Saab37;AJS37|on_display|F 15 Flygmuseum
Saab|AJ 37||37067|Viggen||fixed_wing|monoplane|military|ground_attack|||Viggen;Saab 37;Saab37;AJ37|on_display|F 15 Flygmuseum
Saab|AJ 37||37068|Viggen||fixed_wing|monoplane|military|ground_attack||Gate guard at the former Volvo Aero site.|Viggen;Saab 37;Saab37;AJ37|on_display|GKN Aerospace Trollhättan
Saab|AJS 37||37080|Viggen||fixed_wing|monoplane|military|ground_attack|||Viggen;Saab 37;Saab37;AJS37|on_display|Västerås Flygmuseum
Saab|AJS 37||37081|Viggen||fixed_wing|monoplane|military|ground_attack||Forward fuselage only; used as a simulator at the museum.|Viggen;Saab 37;Saab37;AJS37|on_display|F 15 Flygmuseum
Saab|AJ 37||37094|Viggen||fixed_wing|monoplane|military|ground_attack|||Viggen;Saab 37;Saab37;AJ37|on_display|Aeroseum
Saab|AJ 37||37097|Viggen||fixed_wing|monoplane|military|ground_attack|||Viggen;Saab 37;Saab37;AJ37|on_display|Jämtlands flyg- och lottamuseum
Saab|AJS 37||37108|Viggen||fixed_wing|monoplane|military|ground_attack|||Viggen;Saab 37;Saab37;AJS37|on_display|Flygvapenmuseum
Saab|JA 37||37301|Viggen||fixed_wing|monoplane|military|fighter||On loan to an upper-secondary technical school.|Viggen;Saab 37;Saab37;JA37|on_display|Flygvapenmuseum
Saab|JA 37||37307|Viggen||fixed_wing|monoplane|military|fighter||Forward fuselage only; converted into a simulator.|Viggen;Saab 37;Saab37;JA37|on_display|Teknikland
Saab|JA 37|DI|37326|Viggen||fixed_wing|monoplane|military|fighter|||Viggen;Saab 37;Saab37;JA37;JA37DI;JA37-DI|on_display|Svedinos Bil- och Flygmuseum
Saab|JA 37|C|37358|Viggen||fixed_wing|monoplane|military|fighter||Forward fuselage only.|Viggen;Saab 37;Saab37;JA37;JA37C;JA37-C|on_display|Kreativum Science Center
Saab|JA 37|C|37362|Viggen||fixed_wing|monoplane|military|fighter|||Viggen;Saab 37;Saab37;JA37;JA37C;JA37-C|on_display|Flygmuseet F 21
Saab|JA 37|C|37378|Viggen||fixed_wing|monoplane|military|fighter|||Viggen;Saab 37;Saab37;JA37;JA37C;JA37-C|on_display|RFN Museum Vidsel
Saab|JA 37|DI|37386|Viggen||fixed_wing|monoplane|military|fighter||Forward fuselage only.|Viggen;Saab 37;Saab37;JA37;JA37DI;JA37-DI|on_display|Svedinos Bil- och Flygmuseum
Saab|JA 37|C|37392|Viggen||fixed_wing|monoplane|military|fighter|||Viggen;Saab 37;Saab37;JA37;JA37C;JA37-C|on_display|Jämtlands flyg- och lottamuseum
Saab|JA 37|D|37397|Viggen||fixed_wing|monoplane|military|fighter||Forward fuselage only; fitted with a wheelchair ramp for visitors.|Viggen;Saab 37;Saab37;JA37;JA37D;JA37-D|on_display|Aeroseum
Saab|JA 37|DI|37401|Viggen||fixed_wing|monoplane|military|fighter||Forward fuselage only.|Viggen;Saab 37;Saab37;JA37;JA37DI;JA37-DI|on_display|Aeroseum
Saab|JA 37|DI|37405|Viggen||fixed_wing|monoplane|military|fighter||Forward fuselage only.|Viggen;Saab 37;Saab37;JA37;JA37DI;JA37-DI|on_display|Aeroseum
Saab|JA 37|C|37410|Viggen||fixed_wing|monoplane|military|fighter||Delivered 1986 and served with F 21 and F 16. JA 37C edit 32 standard. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Viggen;Saab 37;Saab37;JA37;JA37C;JA37-C|on_display|Österlens Flygmuseum
Saab|JA 37|DI|37412|Viggen||fixed_wing|monoplane|military|fighter|||Viggen;Saab 37;Saab37;JA37;JA37DI;JA37-DI|on_display|Jämtlands flyg- och lottamuseum
Saab|JA 37|C|37425|Viggen||fixed_wing|monoplane|military|fighter||Gate guard at Arna since summer 2006 commemorating the type's service with F 16; this airframe served at F 16 throughout its career.|Viggen;Saab 37;Saab37;JA37;JA37C;JA37-C|on_display|F 16 Flygmuseum
Saab|JA 37|DI|37427|Viggen||fixed_wing|monoplane|military|fighter||Forward fuselage only.|Viggen;Saab 37;Saab37;JA37;JA37DI;JA37-DI|on_display|Aeroseum
Saab|JA 37|D|37432|Viggen|Petter Blå|fixed_wing|monoplane|military|fighter||Delivered 1988 and struck off in 2002 with 1286 flying hours. Painted overall blue as Petter Bla for the disbandment of F 16. Displayed in the hangar at Bunge airfield since 2011.|Viggen;Saab 37;Saab37;JA37;JA37D;JA37-D|on_display|Bunge Flygmuseum
Saab|JA 37|C|37448|Viggen||fixed_wing|monoplane|military|fighter||Mounted as a landmark and sign at the E14 / road 45 junction at Optand immediately beside the museum.|Viggen;Saab 37;Saab37;JA37;JA37C;JA37-C|on_display|Jämtlands flyg- och lottamuseum
Saab|JA 37|C|37449|Viggen||fixed_wing|monoplane|military|fighter||In storage; not on public display.|Viggen;Saab 37;Saab37;JA37;JA37C;JA37-C|in_storage|Flygvapenmuseum
Saab|SK 37||37800|Viggen||fixed_wing|monoplane|military|trainer|||Viggen;Saab 37;Saab37;SK37|on_display|Stenbäcks Flygmuseum
Saab|SK 37||37803|Viggen||fixed_wing|monoplane|military|trainer||Marked 4-67.|Viggen;Saab 37;Saab37;SK37|on_display|Jämtlands flyg- och lottamuseum
Saab|SK 37||37805|Viggen||fixed_wing|monoplane|military|trainer|||Viggen;Saab 37;Saab37;SK37|on_display|F 15 Flygmuseum
Saab|SK 37|E|37817|Viggen||fixed_wing|monoplane|military|trainer|||Viggen;Saab 37;Saab37;SK37;SK37E;SK37-E|on_display|Flygmuseet F 21
Saab|AJSH 37||37903|Viggen||fixed_wing|monoplane|military|recon||Forward fuselage only.|Viggen;Saab 37;Saab37;AJSH37|on_display|F11 Museum
Saab|AJSH 37||37904|Viggen||fixed_wing|monoplane|military|recon||Stored outdoors on the south-eastern part of the airfield.|Viggen;Saab 37;Saab37;AJSH37|on_display|Malmens flygplats
Saab|AJSH 37||37910|Viggen||fixed_wing|monoplane|military|recon||Forward fuselage only.|Viggen;Saab 37;Saab37;AJSH37|on_display|Arboga Robotmuseum
Saab|AJSH 37||37911|Viggen||fixed_wing|monoplane|military|recon|||Viggen;Saab 37;Saab37;AJSH37|on_display|Aeroseum
Saab|AJSH 37||37924|Viggen||fixed_wing|monoplane|military|recon||Stored outdoors on the south-eastern part of the airfield.|Viggen;Saab 37;Saab37;AJSH37|on_display|Visby flygplats
Saab|AJSF 37||37950|Viggen||fixed_wing|monoplane|military|recon||Forward fuselage only.|Viggen;Saab 37;Saab37;AJSF37|on_display|Jämtlands flyg- och lottamuseum
Saab|AJSF 37||37958|Viggen||fixed_wing|monoplane|military|recon||Forward fuselage only; converted into a simulator. Its wings and fin were reused on 37072.|Viggen;Saab 37;Saab37;AJSF37|on_display|F11 Museum
Saab|AJSF 37||37972|Viggen||fixed_wing|monoplane|military|recon|||Viggen;Saab 37;Saab37;AJSF37|on_display|Gotlands Försvarsmuseum
Saab|AJSF 37||37976|Viggen||fixed_wing|monoplane|military|recon|||Viggen;Saab 37;Saab37;AJSF37|on_display|Ängelholms Flygmuseum
Saab|SF 37||37977|Viggen||fixed_wing|monoplane|military|recon|||Viggen;Saab 37;Saab37;SF37|on_display|Flygmuseet F 21
Saab|JAS 39||39-2|Gripen||fixed_wing|monoplane|military|experimental||Second Gripen prototype; handed to Flygvapenmuseum in 1999 after 461 flying hours and transferred on loan to Aeroseum on 16 November 2022.|Gripen;Saab 39;Saab39;JAS39|on_display|Aeroseum
Saab|JAS 39|A|39101|Gripen||fixed_wing|monoplane|military|fighter||The first production Gripen.|Gripen;Saab 39;Saab39;JAS39;JAS39A;JAS39-A|on_display|Ängelholms Flygmuseum
Saab|JAS 39|A|39113|Gripen||fixed_wing|monoplane|military|fighter||Displayed outside the wing guardhouse.|Gripen;Saab 39;Saab39;JAS39;JAS39A;JAS39-A|on_display|F 7 Gårds- och Flottiljmuseum
Saab|JAS 39|A|39150|Gripen||fixed_wing|monoplane|military|fighter||Forward fuselage only.|Gripen;Saab 39;Saab39;JAS39;JAS39A;JAS39-A|on_display|Ängelholms Flygmuseum
Saab|JAS 39|B|39813|Gripen||fixed_wing|monoplane|military|fighter||Part of the Cold War exhibition; displayed between a Lansen and a Viggen.|Gripen;Saab 39;Saab39;JAS39;JAS39B;JAS39-B|on_display|Flygvapenmuseum
Saab|Sk 50|B|50003|Safir||fixed_wing|monoplane|military|trainer|||Safir;Saab 91;Saab91;Sk50;Sk50B;Sk50-B|on_display|Stenbäcks Flygmuseum
Saab|Sk 50|B|50006|Safir||fixed_wing|monoplane|military|trainer|||Safir;Saab 91;Saab91;Sk50;Sk50B;Sk50-B|on_display|F 15 Flygmuseum
Saab|Sk 50|B|50007|Safir||fixed_wing|monoplane|military|trainer|||Safir;Saab 91;Saab91;Sk50;Sk50B;Sk50-B|on_display|Ängelholms Flygmuseum
Saab|Sk 50|B|50020|Safir||fixed_wing|monoplane|military|trainer|||Safir;Saab 91;Saab91;Sk50;Sk50B;Sk50-B|on_display|Jämtlands flyg- och lottamuseum
Saab|Sk 50|B|50023|Safir||fixed_wing|monoplane|military|trainer|||Safir;Saab 91;Saab91;Sk50;Sk50B;Sk50-B|on_display|Autoseum
Saab|Sk 50|B|50036|Safir||fixed_wing|monoplane|military|trainer|||Safir;Saab 91;Saab91;Sk50;Sk50B;Sk50-B|on_display|Aeroseum
Saab|Sk 50|B|50039|Safir||fixed_wing|monoplane|military|trainer|||Safir;Saab 91;Saab91;Sk50;Sk50B;Sk50-B|on_display|Ljungbyheds Militärhistoriska Museum
Saab|Sk 50|B|50046|Safir||fixed_wing|monoplane|military|trainer||In storage; not on public display.|Safir;Saab 91;Saab91;Sk50;Sk50B;Sk50-B|in_storage|Flygvapenmuseum
Saab|Saab 105||105-2|Saab 105||fixed_wing|monoplane|military|experimental||Civil registered SE-XBZ. Second Saab 105 prototype.|Saab 105;Saab105|on_display|Svedinos Bil- och Flygmuseum
Saab|SK 60|C|60004|Saab 105||fixed_wing|monoplane|military|trainer|||Saab 105;Saab105;SK60;SK60C;SK60-C|on_display|Flygmuseet F 21
Saab|SK 60|B|60056|Saab 105||fixed_wing|monoplane|military|trainer|||Saab 105;Saab105;SK60;SK60B;SK60-B|on_display|Jämtlands flyg- och lottamuseum
Saab|SK 60|B|60074|Saab 105||fixed_wing|monoplane|military|trainer|||Saab 105;Saab105;SK60;SK60B;SK60-B|on_display|Bunge Flygmuseum
Saab|SK 60|B|60082|Saab 105||fixed_wing|monoplane|military|trainer||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Saab 105;Saab105;SK60;SK60B;SK60-B|on_display|Ängelholms Flygmuseum
Saab|SK 60|B|60086|Saab 105||fixed_wing|monoplane|military|trainer|||Saab 105;Saab105;SK60;SK60B;SK60-B|on_display|Flygvapenmuseum
Saab|SK 60|B|60091|Saab 105||fixed_wing|monoplane|military|trainer||In storage; not on public display.|Saab 105;Saab105;SK60;SK60B;SK60-B|in_storage|Flygvapenmuseum
Saab|SK 60|A|60113|Saab 105||fixed_wing|monoplane|military|trainer|||Saab 105;Saab105;SK60;SK60A;SK60-A|on_display|Flygvapenmuseum
Saab|SK 60|D|60132|Saab 105||fixed_wing|monoplane|military|trainer||Gate guard beside the golf course on the old F 5 wing area.|Saab 105;Saab105;SK60;SK60D;SK60-D|on_display|Ljungbyheds Militärhistoriska Museum
Saab|SK 60|E|60142|Saab 105||fixed_wing|monoplane|military|trainer|||Saab 105;Saab105;SK60;SK60E;SK60-E|on_display|Ljungbyheds Militärhistoriska Museum
Saab|SK 60|E|60145|Saab 105||fixed_wing|monoplane|military|trainer|||Saab 105;Saab105;SK60;SK60E;SK60-E|on_display|F 15 Flygmuseum
Seversky|J 9||2134|EP-1||fixed_wing|monoplane|military|fighter|||EP-1;EP1;EP-106;Model 106;J9;c/n 282-19|on_display|Flygvapenmuseum
Scottish Aviation|SK 61|A|61001|Bulldog||fixed_wing|monoplane|military|trainer|||B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-102|on_display|Ljungbyheds Militärhistoriska Museum
Scottish Aviation|SK 61|A|61005|Bulldog||fixed_wing|monoplane|military|trainer|||B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-105|on_display|Svedinos Bil- och Flygmuseum
Scottish Aviation|SK 61|A|61006|Bulldog||fixed_wing|monoplane|military|trainer||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-106|on_display|Ängelholms Flygmuseum
Scottish Aviation|SK 61|A|61015|Bulldog||fixed_wing|monoplane|military|trainer|||B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-117|on_display|F 15 Flygmuseum
Scottish Aviation|SK 61|A|61030|Bulldog||fixed_wing|monoplane|military|trainer||In storage; not on public display.|B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-137|in_storage|Flygvapenmuseum
Scottish Aviation|SK 61|A|61033|Bulldog||fixed_wing|monoplane|military|trainer||Displayed outdoors.|B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-141|on_display|Ljungbyheds Militärhistoriska Museum
Scottish Aviation|SK 61|A|61055|Bulldog||fixed_wing|monoplane|military|trainer|||B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-173|on_display|Jämtlands flyg- och lottamuseum
Scottish Aviation|SK 61|C|61061|Bulldog||fixed_wing|monoplane|military|trainer|||B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-179|on_display|F11 Museum
Scottish Aviation|SK 61|C|61070|Bulldog||fixed_wing|monoplane|military|trainer||Civil registration SE-MEK; airworthy.|B.125;B125;Bulldog;Sk 61;Sk61;SK61;c/n BH 100-188|on_display|Flygvapenmuseum
Sparmann|P 1||814|S 1-A||fixed_wing|monoplane|military|trainer||In storage; not on public display.|S 1-A;S1A;P1;c/n 8|in_storage|Flygvapenmuseum
Sud Aviation|Tp 85||85172|Caravelle||fixed_wing|monoplane|military|transport||Ex-SAS SE-DAG.|Caravelle;SE-210;SE210;Caravelle III;Tp85;c/n 172|on_display|Flygvapenmuseum
Sud Aviation|Tp 85||85210|Caravelle||fixed_wing|monoplane|military|transport||Former Swedish Air Force Tp 85 kept in running condition by Le Caravelle Club at Stockholm Arlanda Airport and reported to be the only Caravelle in the world still able to taxi under its own power. Previously SAS SE-DAI.|Caravelle;SE-210;SE210;Caravelle III;Tp85;c/n 210;SE-DAI|on_display|Le Caravelle Club Arlanda
Vickers-Armstrongs|Tp 82||82001|Varsity||fixed_wing|monoplane|military|trainer|||Varsity;Varsity T.1;Varsity T1;Tp82;c/n 622|on_display|Flygvapenmuseum
Agusta-Bell|Hkp 3||03301|AB 204B||rotary_wing||military|search_rescue||Gate guard at the museum on the site of the former Boden helicopter airfield.|AB 204B;AB 204;AB204;Bell 204;Bell204;HKP 3;Hkp3|on_display|Försvarsmuseum Boden
